NACA 2412
 1.000000  0.001260
 0.998930  0.001570
 0.994760  0.002870
 0.985900  0.005950
 0.971570  0.010470
 0.951550  0.016330
 0.925890  0.023240
 0.894820  0.030990
 0.858760  0.039260
 0.818310  0.047780
 0.774130  0.056250
 0.726960  0.064370
 0.677560  0.071850
 0.626770  0.078390
 0.575370  0.083750
 0.524100  0.087750
 0.473660  0.090230
 0.424680  0.091010
 0.377740  0.089930
 0.333330  0.087030
 0.292150  0.082330
 0.254640  0.076040
 0.221220  0.068390
 0.192140  0.059740
 0.167570  0.050410
 0.147610  0.040710
 0.132220  0.030830
 0.121350  0.020920
 0.114750  0.011110
 0.112260  0.001470
 0.113880 -0.007940
 0.119560 -0.017050
 0.129200 -0.025780
 0.142820 -0.034030
 0.160400 -0.041690
 0.181930 -0.048650
 0.207360 -0.054770
 0.236590 -0.059900
 0.269450 -0.063940
 0.305680 -0.066750
 0.344940 -0.068280
 0.386860 -0.068420
 0.430980 -0.067160
 0.476790 -0.064510
 0.523730 -0.060590
 0.571220 -0.055600
 0.618690 -0.049830
 0.665510 -0.043530
 0.711060 -0.036980
 0.754750 -0.030380
 0.796010 -0.023940
 0.834340 -0.017830
 0.869270 -0.012200
 0.900400 -0.007270
 0.927420 -0.003310
 0.950110 -0.000570
 0.968390  0.000800
 0.982250  0.000960
 0.991820  0.000430
 0.997500 -0.000210
 1.000000 -0.000630
